year_aot,month_aot,PM2.5_aot,station_aot,year_chang,month_chang,PM2.5_chang,station_chang
2013,3,4,Aotizhongxin,2013,3,3,Changping
2013,3,8,Aotizhongxin,2013,3,3,Changping
2013,3,7,Aotizhongxin,2013,3,3,Changping
2013,3,6,Aotizhongxin,2013,3,3,Changping
2013,3,3,Aotizhongxin,2013,3,3,Changping
2013,3,5,Aotizhongxin,2013,3,3,Changping
2013,3,3,Aotizhongxin,2013,3,4,Changping
2013,3,3,Aotizhongxin,2013,3,9,Changping
2013,3,3,Aotizhongxin,2013,3,11,Changping
2013,3,6,Aotizhongxin,2013,3,9,Changping
2013,3,9,Aotizhongxin,2013,3,3,Changping
2013,3,10,Aotizhongxin,2013,3,6,Changping
2013,3,11,Aotizhongxin,2013,3,4,Changping
2013,3,8,Aotizhongxin,2013,3,7,Changping
2013,3,11,Aotizhongxin,2013,3,8,Changping
2013,3,12,Aotizhongxin,2013,3,7,Changping
2013,3,15,Aotizhongxin,2013,3,5,Changping
2013,3,24,Aotizhongxin,2013,3,7,Changping
2013,3,22,Aotizhongxin,2013,3,11,Changping
2013,3,14,Aotizhongxin,2013,3,12,Changping
2013,3,13,Aotizhongxin,2013,3,13,Changping
2013,3,3,Aotizhongxin,2013,3,14,Changping
2013,3,9,Aotizhongxin,2013,3,13,Changping
2013,3,4,Aotizhongxin,2013,3,16,Changping
2013,3,3,Aotizhongxin,2013,3,19,Changping
2013,3,3,Aotizhongxin,2013,3,22,Changping
2013,3,10,Aotizhongxin,2013,3,29,Changping
2013,3,11,Aotizhongxin,2013,3,46,Changping
2013,3,18,Aotizhongxin,2013,3,30,Changping
2013,3,26,Aotizhongxin,2013,3,31,Changping
2013,3,25,Aotizhongxin,2013,3,30,Changping
2013,3,26,Aotizhongxin,2013,3,30,Changping
2013,3,37,Aotizhongxin,2013,3,38,Changping
2013,3,37,Aotizhongxin,2013,3,42,Changping
2013,3,44,Aotizhongxin,2013,3,44,Changping
2013,3,54,Aotizhongxin,2013,3,44,Changping
2013,3,61,Aotizhongxin,2013,3,47,Changping
2013,3,67,Aotizhongxin,2013,3,52,Changping
2013,3,74,Aotizhongxin,2013,3,69,Changping
2013,3,81,Aotizhongxin,2013,3,72,Changping
2013,3,93,Aotizhongxin,2013,3,62,Changping
2013,3,112,Aotizhongxin,2013,3,73,Changping
2013,3,109,Aotizhongxin,2013,3,50,Changping
2013,3,110,Aotizhongxin,2013,3,60,Changping
2013,3,105,Aotizhongxin,2013,3,60,Changping
2013,3,106,Aotizhongxin,2013,3,64,Changping
2013,3,101,Aotizhongxin,2013,3,56,Changping
2013,3,91,Aotizhongxin,2013,3,53,Changping
2013,3,79,Aotizhongxin,2013,3,52,Changping
2013,3,77,Aotizhongxin,2013,3,58,Changping
2013,3,83,Aotizhongxin,2013,3,81,Changping
2013,3,94,Aotizhongxin,2013,3,84,Changping
2013,3,96,Aotizhongxin,2013,3,106,Changping
2013,3,91,Aotizhongxin,2013,3,110,Changping
2013,3,98,Aotizhongxin,2013,3,113,Changping
2013,3,72,Aotizhongxin,2013,3,100,Changping
2013,3,48,Aotizhongxin,2013,3,68,Changping
2013,3,28,Aotizhongxin,2013,3,32,Changping
2013,3,26,Aotizhongxin,2013,3,21,Changping
2013,3,24,Aotizhongxin,2013,3,16,Changping
2013,3,19,Aotizhongxin,2013,3,18,Changping
2013,3,60,Aotizhongxin,2013,3,24,Changping
2013,3,117,Aotizhongxin,2013,3,29,Changping
2013,3,54,Aotizhongxin,2013,3,23,Changping
2013,3,46,Aotizhongxin,2013,3,30,Changping
2013,3,42,Aotizhongxin,2013,3,25,Changping
2013,3,49,Aotizhongxin,2013,3,16,Changping
2013,3,34,Aotizhongxin,2013,3,8,Changping
2013,3,12,Aotizhongxin,2013,3,6,Changping
2013,3,7,Aotizhongxin,2013,3,7,Changping
2013,3,10,Aotizhongxin,2013,3,3,Changping
2013,3,13,Aotizhongxin,2013,3,10,Changping
2013,3,13,Aotizhongxin,2013,3,12,Changping
2013,3,15,Aotizhongxin,2013,3,16,Changping
2013,3,16,Aotizhongxin,2013,3,14,Changping
2013,3,18,Aotizhongxin,2013,3,7,Changping
2013,3,13,Aotizhongxin,2013,3,8,Changping
2013,3,10,Aotizhongxin,2013,3,21,Changping
2013,3,14,Aotizhongxin,2013,3,10,Changping
2013,3,20,Aotizhongxin,2013,3,13,Changping
2013,3,25,Aotizhongxin,2013,3,17,Changping
2013,3,31,Aotizhongxin,2013,3,32,Changping
2013,3,34,Aotizhongxin,2013,3,43,Changping
2013,3,40,Aotizhongxin,2013,3,64,Changping
2013,3,51,Aotizhongxin,2013,3,76,Changping
2013,3,58,Aotizhongxin,2013,3,54,Changping
2013,3,71,Aotizhongxin,2013,3,57,Changping
2013,3,91,Aotizhongxin,2013,3,48,Changping
2013,3,100,Aotizhongxin,2013,3,65,Changping
2013,3,103,Aotizhongxin,2013,3,60,Changping
2013,3,115,Aotizhongxin,2013,3,46,Changping
2013,3,117,Aotizhongxin,2013,3,72,Changping
2013,3,104,Aotizhongxin,2013,3,56,Changping
2013,3,106,Aotizhongxin,2013,3,51,Changping
2013,3,111,Aotizhongxin,2013,3,68,Changping
2013,3,114,Aotizhongxin,2013,3,68,Changping
2013,3,131,Aotizhongxin,2013,3,87,Changping
2013,3,138,Aotizhongxin,2013,3,107,Changping
2013,3,142,Aotizhongxin,2013,3,109,Changping
2013,3,163,Aotizhongxin,2013,3,118,Changping
2013,3,168,Aotizhongxin,2013,3,126,Changping
2013,3,165,Aotizhongxin,2013,3,124,Changping
2013,3,166,Aotizhongxin,2013,3,149,Changping
2013,3,190,Aotizhongxin,2013,3,151,Changping
2013,3,203,Aotizhongxin,2013,3,158,Changping
2013,3,210,Aotizhongxin,2013,3,161,Changping
2013,3,205,Aotizhongxin,2013,3,173,Changping
2013,3,215,Aotizhongxin,2013,3,191,Changping
2013,3,219,Aotizhongxin,2013,3,181,Changping
2013,3,226,Aotizhongxin,2013,3,141,Changping
2013,3,284,Aotizhongxin,2013,3,152,Changping
2013,3,272,Aotizhongxin,2013,3,180,Changping
2013,3,242,Aotizhongxin,2013,3,146,Changping
2013,3,212,Aotizhongxin,2013,3,170,Changping
2013,3,192,Aotizhongxin,2013,3,149,Changping
2013,3,188,Aotizhongxin,2013,3,182,Changping
2013,3,186,Aotizhongxin,2013,3,182,Changping
2013,3,188,Aotizhongxin,2013,3,187,Changping
2013,3,194,Aotizhongxin,2013,3,195,Changping
2013,3,184,Aotizhongxin,2013,3,193,Changping
2013,3,175,Aotizhongxin,2013,3,200,Changping
2013,3,179,Aotizhongxin,2013,3,239,Changping
2013,3,192,Aotizhongxin,2013,3,271,Changping
2013,3,201,Aotizhongxin,2013,3,281,Changping
2013,3,230,Aotizhongxin,2013,3,263,Changping
2013,3,246,Aotizhongxin,2013,3,293,Changping
2013,3,248,Aotizhongxin,2013,3,302,Changping
2013,3,230,Aotizhongxin,2013,3,312,Changping
2013,3,239,Aotizhongxin,2013,3,280,Changping
2013,3,242,Aotizhongxin,2013,3,265,Changping
2013,3,254,Aotizhongxin,2013,3,268,Changping
2013,3,266,Aotizhongxin,2013,3,272,Changping
2013,3,254,Aotizhongxin,2013,3,339,Changping
2013,3,260,Aotizhongxin,2013,3,326,Changping
2013,3,250,Aotizhongxin,2013,3,282,Changping
2013,3,240,Aotizhongxin,2013,3,206,Changping
2013,3,238,Aotizhongxin,2013,3,227,Changping
2013,3,243,Aotizhongxin,2013,3,208,Changping
2013,3,246,Aotizhongxin,2013,3,198,Changping
2013,3,275,Aotizhongxin,2013,3,201,Changping
2013,3,306,Aotizhongxin,2013,3,202,Changping
2013,3,320,Aotizhongxin,2013,3,175,Changping
2013,3,292,Aotizhongxin,2013,3,143,Changping
2013,3,251,Aotizhongxin,2013,3,140,Changping
2013,3,228,Aotizhongxin,2013,3,169,Changping
2013,3,217,Aotizhongxin,2013,3,225,Changping
2013,3,255,Aotizhongxin,2013,3,174,Changping
2013,3,258,Aotizhongxin,2013,3,71,Changping
2013,3,277,Aotizhongxin,2013,3,83,Changping
2013,3,282,Aotizhongxin,2013,3,137,Changping
2013,3,267,Aotizhongxin,2013,3,207,Changping
2013,3,216,Aotizhongxin,2013,3,258,Changping
2013,3,201,Aotizhongxin,2013,3,264,Changping
2013,3,211,Aotizhongxin,2013,3,241,Changping
2013,3,227,Aotizhongxin,2013,3,256,Changping
2013,3,282,Aotizhongxin,2013,3,262,Changping
2013,3,363,Aotizhongxin,2013,3,238,Changping
2013,3,376,Aotizhongxin,2013,3,249,Changping
2013,3,344,Aotizhongxin,2013,3,224,Changping
2013,3,339,Aotizhongxin,2013,3,216,Changping
2013,3,339,Aotizhongxin,2013,3,263,Changping
2013,3,324,Aotizhongxin,2013,3,290,Changping
2013,3,322,Aotizhongxin,2013,3,257,Changping
2013,3,315,Aotizhongxin,2013,3,233,Changping
2013,3,310,Aotizhongxin,2013,3,193,Changping
2013,3,309,Aotizhongxin,2013,3,72,Changping
2013,3,310,Aotizhongxin,2013,3,79,Changping
2013,3,326,Aotizhongxin,2013,3,85,Changping
2013,3,326,Aotizhongxin,2013,3,180,Changping
2013,3,219,Aotizhongxin,2013,3,207,Changping
2013,3,104,Aotizhongxin,2013,3,179,Changping
2013,3,121,Aotizhongxin,2013,3,153,Changping
2013,3,184,Aotizhongxin,2013,3,159,Changping
2013,3,330,Aotizhongxin,2013,3,443,Changping
2013,3,172,Aotizhongxin,2013,3,289,Changping
2013,3,114,Aotizhongxin,2013,3,173,Changping
2013,3,82,Aotizhongxin,2013,3,141,Changping
2013,3,84,Aotizhongxin,2013,3,112,Changping
2013,3,91,Aotizhongxin,2013,3,113,Changping
2013,3,81,Aotizhongxin,2013,3,117,Changping
2013,3,90,Aotizhongxin,2013,3,99,Changping
2013,3,79,Aotizhongxin,2013,3,100,Changping
2013,3,49,Aotizhongxin,2013,3,100,Changping
2013,3,89,Aotizhongxin,2013,3,96,Changping
2013,3,89,Aotizhongxin,2013,3,102,Changping
2013,3,98,Aotizhongxin,2013,3,107,Changping
2013,3,97,Aotizhongxin,2013,3,97,Changping
2013,3,102,Aotizhongxin,2013,3,104,Changping
2013,3,110,Aotizhongxin,2013,3,106,Changping
2013,3,108,Aotizhongxin,2013,3,104,Changping
2013,3,104,Aotizhongxin,2013,3,116,Changping
2013,3,113,Aotizhongxin,2013,3,142,Changping
2013,3,145,Aotizhongxin,2013,3,106,Changping
2013,3,69,Aotizhongxin,2013,3,28,Changping
2013,3,78,Aotizhongxin,2013,3,35,Changping
2013,3,49,Aotizhongxin,2013,3,20,Changping
2013,3,47,Aotizhongxin,2013,3,21,Changping
2013,3,28,Aotizhongxin,2013,3,22,Changping
2013,3,21,Aotizhongxin,2013,3,9,Changping
2013,3,14,Aotizhongxin,2013,3,13,Changping
2013,3,17,Aotizhongxin,2013,3,15,Changping
2013,3,15,Aotizhongxin,2013,3,13,Changping
2013,3,18,Aotizhongxin,2013,3,12,Changping
2013,3,12,Aotizhongxin,2013,3,8,Changping
2013,3,11,Aotizhongxin,2013,3,14,Changping
2013,3,6,Aotizhongxin,2013,3,8,Changping
2013,3,11,Aotizhongxin,2013,3,12,Changping
2013,3,11,Aotizhongxin,2013,3,13,Changping
2013,3,6,Aotizhongxin,2013,3,10,Changping
2013,3,18,Aotizhongxin,2013,3,3,Changping
2013,3,21,Aotizhongxin,2013,3,3,Changping
2013,3,18,Aotizhongxin,2013,3,10,Changping
2013,3,24,Aotizhongxin,2013,3,12,Changping
2013,3,31,Aotizhongxin,2013,3,20,Changping
2013,3,26,Aotizhongxin,2013,3,16,Changping
2013,3,27,Aotizhongxin,2013,3,6,Changping
2013,3,30,Aotizhongxin,2013,3,12,Changping
2013,3,28,Aotizhongxin,2013,3,21,Changping
2013,3,34,Aotizhongxin,2013,3,20,Changping
2013,3,37,Aotizhongxin,2013,3,27,Changping
2013,3,36,Aotizhongxin,2013,3,40,Changping
2013,3,38,Aotizhongxin,2013,3,41,Changping
2013,3,44,Aotizhongxin,2013,3,47,Changping
2013,3,60,Aotizhongxin,2013,3,51,Changping
2013,3,70,Aotizhongxin,2013,3,69,Changping
2013,3,64,Aotizhongxin,2013,3,80,Changping
2013,3,70,Aotizhongxin,2013,3,95,Changping
2013,3,81,Aotizhongxin,2013,3,93,Changping
2013,3,90,Aotizhongxin,2013,3,79,Changping
2013,3,95,Aotizhongxin,2013,3,69,Changping
2013,3,95,Aotizhongxin,2013,3,91,Changping
2013,3,96,Aotizhongxin,2013,3,78,Changping
2013,3,97,Aotizhongxin,2013,3,76,Changping
2013,3,106,Aotizhongxin,2013,3,91,Changping
2013,3,114,Aotizhongxin,2013,3,98,Changping
2013,3,112,Aotizhongxin,2013,3,83,Changping
2013,3,113,Aotizhongxin,2013,3,114,Changping
2013,3,120,Aotizhongxin,2013,3,120,Changping
2013,3,141,Aotizhongxin,2013,3,125,Changping
2013,3,140,Aotizhongxin,2013,3,117,Changping
