year_aot,month_aot,day_aot,NO2_aot,station_aot,Date
2013,3,1,7,Aotizhongxin,3/1/2013
2013,3,1,10,Aotizhongxin,3/1/2013
2013,3,1,11,Aotizhongxin,3/1/2013
2013,3,1,12,Aotizhongxin,3/1/2013
2013,3,1,18,Aotizhongxin,3/1/2013
2013,3,1,32,Aotizhongxin,3/1/2013
2013,3,1,41,Aotizhongxin,3/1/2013
2013,3,1,43,Aotizhongxin,3/1/2013
2013,3,1,28,Aotizhongxin,3/1/2013
2013,3,1,14,Aotizhongxin,3/1/2013
2013,3,1,13,Aotizhongxin,3/1/2013
2013,3,1,15,Aotizhongxin,3/1/2013
2013,3,1,20,Aotizhongxin,3/1/2013
2013,3,1,30,Aotizhongxin,3/1/2013
2013,3,1,33,Aotizhongxin,3/1/2013
2013,3,1,35,Aotizhongxin,3/1/2013
2013,3,1,57,Aotizhongxin,3/1/2013
2013,3,1,54,Aotizhongxin,3/1/2013
2013,3,2,44,Aotizhongxin,3/2/2013
2013,3,2,36,Aotizhongxin,3/2/2013
2013,3,2,37,Aotizhongxin,3/2/2013
2013,3,2,34,Aotizhongxin,3/2/2013
2013,3,2,43,Aotizhongxin,3/2/2013
2013,3,2,70,Aotizhongxin,3/2/2013
2013,3,2,46,Aotizhongxin,3/2/2013
2013,3,2,58,Aotizhongxin,3/2/2013
2013,3,2,49,Aotizhongxin,3/2/2013
2013,3,2,62,Aotizhongxin,3/2/2013
2013,3,2,60,Aotizhongxin,3/2/2013
2013,3,2,76,Aotizhongxin,3/2/2013
2013,3,2,57,Aotizhongxin,3/2/2013
2013,3,2,54,Aotizhongxin,3/2/2013
2013,3,2,55,Aotizhongxin,3/2/2013
2013,3,2,63,Aotizhongxin,3/2/2013
2013,3,2,77,Aotizhongxin,3/2/2013
2013,3,2,80,Aotizhongxin,3/2/2013
2013,3,2,97,Aotizhongxin,3/2/2013
2013,3,2,108,Aotizhongxin,3/2/2013
2013,3,2,107,Aotizhongxin,3/2/2013
2013,3,2,110,Aotizhongxin,3/2/2013
2013,3,3,100,Aotizhongxin,3/3/2013
2013,3,3,101,Aotizhongxin,3/3/2013
2013,3,3,99,Aotizhongxin,3/3/2013
2013,3,3,92,Aotizhongxin,3/3/2013
2013,3,3,87,Aotizhongxin,3/3/2013
2013,3,3,91,Aotizhongxin,3/3/2013
2013,3,3,90,Aotizhongxin,3/3/2013
2013,3,3,93,Aotizhongxin,3/3/2013
2013,3,3,81,Aotizhongxin,3/3/2013
2013,3,3,57,Aotizhongxin,3/3/2013
2013,3,3,17,Aotizhongxin,3/3/2013
2013,3,3,19,Aotizhongxin,3/3/2013
2013,3,3,27,Aotizhongxin,3/3/2013
2013,3,3,98,Aotizhongxin,3/3/2013
2013,3,3,135,Aotizhongxin,3/3/2013
2013,3,3,84,Aotizhongxin,3/3/2013
2013,3,4,86,Aotizhongxin,3/4/2013
2013,3,4,64,Aotizhongxin,3/4/2013
2013,3,4,14,Aotizhongxin,3/4/2013
2013,3,4,12,Aotizhongxin,3/4/2013
2013,3,4,45,Aotizhongxin,3/4/2013
2013,3,4,65,Aotizhongxin,3/4/2013
2013,3,4,70,Aotizhongxin,3/4/2013
2013,3,4,36,Aotizhongxin,3/4/2013
2013,3,4,27,Aotizhongxin,3/4/2013
2013,3,4,13,Aotizhongxin,3/4/2013
2013,3,4,15,Aotizhongxin,3/4/2013
2013,3,4,34,Aotizhongxin,3/4/2013
2013,3,4,40,Aotizhongxin,3/4/2013
2013,3,4,43,Aotizhongxin,3/4/2013
2013,3,4,61,Aotizhongxin,3/4/2013
2013,3,4,76,Aotizhongxin,3/4/2013
2013,3,4,85,Aotizhongxin,3/4/2013
2013,3,5,78,Aotizhongxin,3/5/2013
2013,3,5,75,Aotizhongxin,3/5/2013
2013,3,5,79,Aotizhongxin,3/5/2013
